Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Bryn Forbes,28.3,DEN,Combo,590,72,53.4%,23,50%,74,45%,49,39%,58,42%,100,64%,57,35%,83,40%
Trent Forrest,23.4,UTA,Wing,695,34,51.0%,36,60%,92,52%,87,50%,97,52%,3,25%,0,0%,1,18%
Evan Fournier,29.0,NYK,Wing,2357,61,54.4%,17,55%,63,42%,75,44%,73,43%,74,44%,67,37%,77,39%
De'Aaron Fox,23.9,SAC,Point,2074,58,50.8%,84,65%,82,46%,80,46%,82,46%,0,23%,29,32%,17,30%
Tim Frazier,31.0,ORL,Point,199,2,37.2%,98,75%,16,30%,6,8%,4,18%,0,20%,0,42%,55,35%
Melvin Frazier Jr.,25.2,OKC,Combo,119,1,28.1%,45,58%,2,13%,0,,1,13%,0,7%,0,0%,0,5%
Markelle Fultz,23.4,ORL,Combo,356,44,49.7%,98,72%,34,36%,57,40%,41,38%,0,50%,0,25%,0,29%
Wenyen Gabriel,24.6,LAL,Forward,291,57,53.4%,71,69%,22,33%,7,0%,15,29%,0,27%,0,17%,8,24%
Daniel Gafford,23.1,WAS,Big,1427,97,69.5%,96,79%,34,38%,25,10%,27,35%,0,,0,,0,
Danilo Gallinari,33.2,ATL,Forward,1657,52,52.8%,50,65%,70,44%,64,42%,63,43%,82,45%,70,37%,79,38%
Darius Garland,21.8,CLE,Point,2424,80,53.6%,46,57%,88,48%,86,47%,92,48%,36,35%,80,39%,77,38%
Marcus Garrett,23.0,MIA,Combo,121,0,23.7%,4,18%,26,33%,3,0%,9,25%,0,0%,0,50%,0,25%
Usman Garuba,19.6,HOU,Big,165,64,58.3%,76,73%,0,0%,0,,0,0%,0,0%,0,40%,0,29%
Luka Garza,22.8,DET,Big,332,11,49.6%,22,62%,45,40%,30,20%,18,31%,0,0%,64,36%,48,33%
Rudy Gay,35.2,UTA,Big,1021,18,51.4%,81,75%,25,34%,68,42%,34,36%,65,37%,56,34%,59,35%
Paul George,31.5,LAC,Forward,1073,24,49.2%,22,59%,41,39%,67,43%,59,41%,97,56%,27,31%,59,36%
Taj Gibson,36.4,NYK,Big,939,54,57.1%,35,65%,66,46%,59,37%,58,43%,93,50%,0,20%,91,42%
Josh Giddey,19.1,OKC,Wing,1693,10,46.5%,26,57%,77,45%,61,40%,76,44%,17,32%,9,25%,8,27%
Shai Gilgeous-Alexander,23.3,OKC,Point,1941,48,49.9%,70,62%,76,45%,64,41%,72,44%,45,38%,24,30%,19,31%
Anthony Gill,29.0,WAS,Big,405,74,60.5%,29,64%,79,50%,0,,85,50%,0,62%,0,30%,99,48%
