Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Willy Hernangomez,27.4,NOP,Big,772,16,51.2%,78,69%,72,27%,22,1%,57,28%,24,0%,28,3%,24,3%
Tyler Herro,21.8,MIA,Combo,2109,66,52.4%,34,20%,78,28%,78,16%,84,44%,45,8%,33,28%,32,36%
Buddy Hield,28.9,SAC,Wing,1557,35,51.2%,19,14%,17,8%,59,8%,30,16%,30,10%,95,59%,85,70%
Buddy Hield,28.9,IND,Wing,924,66,54.7%,39,21%,48,13%,74,12%,56,25%,36,12%,78,42%,61,54%
Haywood Highsmith,24.9,MIA,Big,133,16,51.2%,11,27%,21,12%,58,5%,22,17%,99,34%,68,22%,95,56%
George Hill,35.5,MIL,Combo,1235,59,51.3%,74,33%,23,13%,34,7%,17,21%,89,19%,31,27%,60,46%
Malcolm Hill,26.0,CHI,Forward,157,88,57.5%,13,16%,26,12%,44,5%,26,16%,68,19%,94,49%,90,67%
Solomon Hill,30.6,ATL,Forward,124,0,25.0%,54,31%,5,6%,0,0%,2,6%,69,19%,86,44%,84,63%
Jaylen Hoard,22.6,OKC,Wing,233,58,53.9%,88,44%,93,28%,18,2%,70,30%,23,8%,14,18%,6,26%
Aaron Holiday,25.1,WAS,Combo,619,60,51.5%,56,25%,97,38%,30,6%,87,44%,23,6%,22,24%,18,30%
Aaron Holiday,25.1,PHX,Point,310,22,45.3%,44,23%,96,36%,74,15%,92,51%,20,3%,22,24%,18,26%
Jrue Holiday,31.4,MIL,Point,2201,98,57.2%,64,30%,76,28%,44,11%,70,39%,28,3%,46,28%,28,31%
Justin Holiday,32.6,SAC,Wing,637,16,47.3%,34,19%,4,4%,54,8%,17,12%,62,20%,88,49%,84,69%
Justin Holiday,32.6,IND,Wing,1413,72,55.7%,12,12%,9,5%,67,11%,27,15%,70,22%,90,50%,88,72%
Richaun Holmes,28.0,SAC,Big,1071,92,66.1%,65,59%,92,35%,56,5%,88,40%,24,0%,23,1%,19,2%
Rodney Hood,29.0,MIL,Forward,527,15,45.7%,9,13%,32,13%,85,14%,69,27%,74,20%,81,40%,80,60%
Al Horford,35.4,BOS,Big,2003,41,54.9%,8,25%,67,24%,74,7%,64,31%,85,13%,87,31%,91,44%
Talen Horton-Tucker,20.9,LAL,Wing,1470,11,46.6%,87,42%,67,18%,61,9%,62,28%,13,7%,25,23%,12,30%
Danuel House,28.4,UTA,Wing,482,90,59.2%,54,27%,27,10%,20,2%,19,13%,98,36%,30,25%,70,60%
Danuel House,28.4,HOU,Forward,220,10,44.1%,71,37%,22,11%,76,11%,54,23%,59,17%,37,24%,43,41%
Dwight Howard,35.9,LAL,Big,950,80,62.5%,91,81%,22,13%,38,3%,18,15%,27,1%,29,3%,26,4%
Markus Howard,22.7,DEN,Combo,110,67,52.5%,10,11%,25,14%,52,9%,26,23%,78,14%,94,52%,91,66%
Kevin Huerter,23.2,ATL,Wing,2177,77,56.0%,20,14%,75,22%,65,10%,74,32%,47,15%,64,38%,60,53%
Elijah Hughes,23.6,POR,Forward,271,1,35.6%,2,10%,77,19%,79,12%,78,31%,54,15%,87,44%,78,59%
DeAndre Hunter,23.9,ATL,Forward,1575,39,51.0%,50,30%,83,23%,88,15%,87,39%,45,13%,20,18%,27,31%
Nah'Shon Hyland,21.1,DEN,Combo,1252,58,51.3%,35,20%,21,13%,44,8%,23,21%,64,11%,86,48%,83,59%
Serge Ibaka,32.1,LAC,Big,534,44,55.5%,9,26%,76,28%,93,15%,91,44%,40,2%,82,28%,68,30%
Serge Ibaka,32.1,MIL,Big,330,67,58.9%,14,30%,61,22%,89,13%,75,35%,62,7%,84,29%,78,36%
Andre Iguodala,37.8,GSW,Forward,598,17,46.6%,49,30%,11,8%,46,5%,17,13%,80,23%,65,34%,73,57%
Joe Ingles,34.1,UTA,Forward,1117,61,54.1%,3,10%,21,11%,12,1%,12,12%,72,20%,98,58%,98,78%
Brandon Ingram,24.2,NOP,Forward,1865,29,49.9%,19,20%,88,26%,99,33%,98,59%,2,3%,19,18%,7,21%
Kyrie Irving,29.6,BKN,Combo,1083,79,55.0%,19,15%,75,27%,89,21%,93,48%,22,6%,44,31%,35,37%
Frank Jackson,23.5,DET,Combo,1147,41,49.5%,49,24%,28,15%,31,7%,24,22%,90,19%,59,36%,78,55%
Isaiah Jackson,19.8,IND,Big,495,57,57.5%,82,74%,26,14%,55,5%,31,19%,26,0%,37,6%,32,7%
Jaren Jackson,22.1,MEM,Big,2112,5,47.8%,18,33%,84,31%,20,1%,69,32%,62,7%,82,28%,76,35%
Josh Jackson,24.7,DET,Forward,676,16,46.4%,52,30%,69,18%,70,10%,71,28%,40,13%,54,29%,46,42%
Josh Jackson,24.7,SAC,Forward,109,3,41.1%,86,47%,16,9%,90,17%,67,26%,9,6%,30,21%,17,26%
Reggie Jackson,31.5,LAC,Combo,2331,27,46.7%,38,21%,60,22%,83,17%,78,39%,39,8%,48,32%,43,40%
LeBron James,36.8,LAL,Big,2078,67,58.9%,32,42%,15,11%,90,13%,42,24%,46,3%,88,31%,75,34%
Ty Jerome,24.3,OKC,Combo,759,29,47.2%,14,13%,88,30%,14,5%,63,34%,58,10%,78,42%,76,53%
Isaiah Joe,22.3,PHI,Combo,518,61,51.5%,5,8%,4,6%,59,10%,9,16%,97,27%,88,48%,96,76%
Cameron Johnson,25.7,PHX,Forward,1670,94,59.7%,17,19%,39,14%,54,6%,43,20%,87,24%,73,37%,82,61%
James Johnson,34.7,BKN,Big,1139,13,50.3%,62,56%,28,15%,48,3%,26,18%,75,10%,55,15%,57,25%
Keldon Johnson,21.9,SAS,Forward,2390,72,54.7%,59,32%,89,27%,38,4%,81,31%,20,9%,51,28%,33,37%
Keon Johnson,19.6,LAC,Wing,111,3,36.5%,92,47%,73,21%,83,14%,81,35%,43,14%,1,5%,5,19%
Keon Johnson,19.6,POR,Combo,491,17,44.1%,76,34%,57,21%,22,5%,37,26%,18,5%,56,34%,41,40%
Stanley Johnson,25.4,LAL,Forward,1055,69,54.6%,74,38%,81,20%,53,6%,63,25%,60,17%,27,20%,36,37%
Nikola Jokic,26.7,DEN,Big,2473,79,62.3%,26,40%,86,32%,76,8%,86,40%,29,1%,63,19%,51,20%
Damian Jones,26.3,SAC,Big,977,94,68.2%,73,64%,34,16%,84,10%,55,27%,42,2%,38,6%,36,9%
Herbert Jones,23.1,NOP,Forward,2321,48,52.5%,91,50%,48,16%,63,7%,55,23%,50,14%,9,12%,18,27%
Tre Jones,21.8,SAS,Combo,1064,62,51.8%,92,40%,98,39%,46,8%,92,48%,27,7%,1,5%,3,12%
Tyus Jones,25.5,MEM,Combo,1524,70,53.2%,17,13%,99,41%,57,10%,95,51%,43,8%,32,28%,29,36%
Derrick Jones Jr.,24.7,CHI,Big,861,71,59.3%,72,64%,5,8%,12,0%,2,8%,95,20%,41,8%,64,28%
DeAndre Jordan,33.3,LAL,Big,393,92,66.3%,99,93%,1,6%,18,1%,1,7%,0,0%,0,0%,0,0%
DeAndre Jordan,33.3,PHI,Big,196,61,58.0%,98,91%,6,9%,0,0%,4,9%,0,0%,0,0%,0,0%
Cory Joseph,30.2,DET,Combo,1590,69,53.1%,71,32%,53,19%,70,13%,54,32%,55,10%,25,26%,28,36%
Georgios Kalaitzakis,22.8,OKC,Big,165,31,53.6%,31,42%,21,13%,87,11%,40,23%,61,6%,81,28%,76,34%
Frank Kaminsky,28.6,PHX,Big,167,80,62.5%,36,44%,94,36%,25,2%,85,38%,35,2%,59,17%,49,18%
Enes Kanter,29.5,BOS,Big,365,21,51.9%,84,76%,48,20%,35,2%,38,22%,0,0%,27,2%,21,2%
Luke Kennard,25.4,LAC,Wing,1893,91,59.6%,3,8%,46,13%,83,14%,59,27%,28,10%,94,56%,78,66%
Braxton Key,24.7,DET,Forward,190,37,50.7%,89,49%,71,18%,60,7%,62,25%,38,13%,15,14%,16,26%
Corey Kispert,22.7,WAS,Wing,1731,84,57.6%,47,24%,29,11%,32,5%,26,15%,66,22%,68,39%,72,61%
Maxi Kleber,29.8,DAL,Big,1435,19,51.6%,5,21%,2,7%,52,4%,7,11%,94,17%,100,52%,99,69%
Nathan Knight,24.1,MIN,Big,179,26,53.2%,79,70%,37,17%,0,0%,21,17%,45,3%,46,10%,41,13%
John Konchar,25.6,MEM,Wing,1135,97,61.8%,80,38%,28,11%,33,5%,29,16%,77,24%,21,22%,45,46%
Furkan Korkmaz,24.3,PHI,Wing,1342,20,48.0%,46,23%,63,17%,45,7%,52,24%,39,13%,69,40%,57,53%
Vit Krejci,21.4,OKC,Forward,670,53,53.2%,29,25%,57,16%,40,4%,47,20%,39,13%,83,43%,69,55%
Jonathan Kuminga,19.1,GSW,Big,1072,45,55.6%,52,50%,56,21%,37,2%,42,24%,73,10%,58,16%,59,26%
Kyle Kuzma,26.3,WAS,Big,2203,24,52.3%,10,27%,75,27%,81,10%,81,37%,69,9%,81,27%,79,36%
Zach LaVine,26.6,CHI,Wing,2322,72,55.6%,76,34%,37,12%,89,17%,68,29%,9,6%,46,31%,27,36%
Jeremy Lamb,29.4,SAC,Wing,317,17,47.4%,26,16%,97,31%,73,12%,96,43%,22,8%,54,33%,35,41%
Jeremy Lamb,29.4,IND,Wing,577,23,48.3%,16,13%,95,30%,72,12%,93,41%,35,12%,57,34%,42,46%
Jock Landale,26.0,SAS,Big,513,38,54.7%,39,45%,14,11%,39,3%,14,13%,74,10%,89,32%,86,41%
Romeo Langford,22.0,BOS,Wing,672,26,49.1%,72,32%,80,23%,34,5%,64,28%,81,25%,12,15%,34,40%
Jake Layman,27.7,MIN,Forward,118,68,54.4%,77,39%,53,16%,29,3%,35,18%,83,24%,22,18%,47,42%
Caris LeVert,27.2,IND,Combo,1213,42,49.6%,63,28%,94,36%,35,7%,83,43%,8,4%,23,24%,16,28%
Caris LeVert,27.2,CLE,Wing,566,21,48.1%,70,31%,99,36%,40,6%,94,42%,0,3%,26,23%,9,27%
Damion Lee,29.0,GSW,Wing,1157,53,53.3%,41,22%,65,18%,76,12%,67,29%,61,20%,41,28%,49,48%
Saben Lee,22.4,DET,Point,553,10,42.3%,98,51%,34,17%,4,2%,10,20%,60,6%,18,23%,24,30%
Alex Len,28.4,SAC,Big,616,40,54.9%,55,52%,95,37%,18,1%,83,38%,47,3%,41,8%,39,11%
Kira Lewis Jr.,20.6,NOP,Point,301,28,47.6%,66,30%,78,28%,24,6%,54,35%,74,9%,38,26%,42,35%
Damian Lillard,31.3,POR,Point,1054,46,49.8%,68,30%,10,10%,62,13%,20,23%,26,3%,76,44%,72,47%
Nassir Little,21.7,POR,Forward,1050,63,54.2%,72,37%,24,11%,65,8%,38,19%,35,12%,62,32%,52,44%
Isaiah Livers,23.3,DET,Wing,381,95,60.6%,33,19%,12,6%,57,8%,24,15%,89,29%,63,38%,81,67%
Kevon Looney,25.7,GSW,Big,1729,54,57.1%,81,72%,42,18%,82,10%,58,28%,0,0%,17,0%,15,0%
Brook Lopez,33.6,MIL,Big,293,32,53.8%,22,36%,59,22%,50,4%,50,25%,86,14%,72,25%,83,38%
Robin Lopez,33.6,ORL,Big,592,43,55.3%,25,40%,100,58%,24,1%,99,59%,0,0%,24,1%,19,1%
Didi Louzada,22.3,POR,Combo,120,88,56.9%,8,10%,42,17%,32,7%,30,24%,93,21%,82,45%,90,66%
Kevin Love,33.1,CLE,Big,1662,44,55.3%,2,15%,26,14%,82,10%,47,25%,76,11%,99,49%,96,60%
Kyle Lowry,35.6,MIA,Point,2136,92,56.2%,22,18%,20,14%,46,11%,30,25%,76,9%,84,47%,84,57%
Timothe Luwawu-Cabarrot,26.5,ATL,Wing,615,45,52.5%,53,26%,13,6%,15,2%,7,8%,96,34%,50,31%,77,65%
Trey Lyles,26.0,SAC,Big,542,46,55.6%,46,48%,44,18%,43,3%,36,21%,71,9%,67,21%,69,31%
Trey Lyles,26.0,DET,Big,982,19,51.6%,30,42%,48,20%,65,6%,49,25%,63,7%,77,26%,74,33%
Theo Maledon,20.4,OKC,Combo,873,18,44.2%,54,25%,91,31%,7,3%,59,34%,40,8%,52,34%,49,42%
Sandro Mamukelashvili,22.4,MIL,Big,325,35,54.3%,47,49%,18,12%,32,2%,15,14%,78,11%,79,27%,81,38%
Terance Mann,25.0,LAC,Combo,2250,75,54.0%,89,40%,64,23%,63,11%,58,34%,66,12%,8,15%,14,27%
Tre Mann,20.7,OKC,Combo,1326,32,47.8%,32,19%,82,28%,55,10%,72,38%,36,8%,60,36%,51,43%
Boban Marjanovic,33.2,DAL,Big,104,73,60.3%,45,48%,99,48%,45,3%,97,51%,0,0%,24,2%,20,2%
Lauri Markkanen,24.4,CLE,Forward,1874,70,54.6%,48,29%,47,15%,45,5%,44,20%,33,11%,80,39%,64,51%
Naji Marshall,23.8,NOP,Wing,629,6,43.3%,85,42%,71,19%,35,5%,53,25%,41,14%,17,20%,23,33%
Caleb Martin,26.1,MIA,Forward,1303,91,59.2%,84,46%,36,13%,55,7%,40,20%,65,18%,18,16%,29,34%
Cody Martin,26.1,CHA,Wing,1810,78,56.0%,94,47%,30,11%,46,7%,35,18%,68,22%,6,13%,26,35%
Kelan Martin,26.2,IND,Forward,412,26,49.4%,44,29%,28,12%,87,15%,70,27%,57,16%,50,27%,50,44%
Kenyon Martin Jr.,20.8,HOU,Forward,1547,90,58.1%,96,57%,31,13%,0,0%,14,13%,18,9%,31,21%,23,30%
Garrison Mathews,25.0,HOU,Wing,1668,68,55.1%,18,14%,5,4%,16,2%,0,6%,60,20%,96,60%,95,80%
Wesley Matthews,35.0,MIL,Wing,986,37,51.4%,39,21%,21,9%,13,1%,13,10%,87,29%,70,40%,83,69%
Tyrese Maxey,21.0,PHI,Combo,2637,84,55.8%,75,34%,75,27%,62,11%,73,38%,21,6%,19,22%,15,28%
Skylar Mays,24.2,ATL,Combo,166,83,55.8%,95,44%,7,8%,40,8%,7,15%,76,13%,30,27%,44,40%
Miles McBride,21.1,NYK,Point,324,8,41.2%,20,17%,2,7%,58,13%,8,20%,100,17%,80,46%,90,63%
CJ McCollum,30.1,NOP,Combo,878,87,56.4%,27,17%,87,29%,88,19%,94,49%,3,3%,47,31%,24,34%
CJ McCollum,30.1,POR,Wing,1261,41,52.0%,28,17%,83,24%,90,18%,94,41%,18,8%,58,34%,36,42%
TJ McConnell,29.6,IND,Point,637,64,51.3%,90,37%,98,38%,40,10%,84,48%,52,6%,0,9%,0,15%
Jaden McDaniels,21.1,MIN,Forward,1771,66,54.4%,65,35%,65,17%,39,4%,52,21%,81,23%,29,21%,49,44%
Jalen McDaniels,23.8,CHA,Wing,829,75,55.9%,78,37%,77,22%,8,1%,50,24%,50,16%,23,23%,32,39%
Doug McDermott,29.8,SAS,Forward,1220,89,57.7%,26,23%,59,17%,51,5%,53,22%,29,11%,84,43%,68,55%
JaVale McGee,33.8,PHX,Big,1152,84,63.1%,76,67%,78,28%,39,3%,66,31%,0,0%,25,2%,21,2%
Rodney McGruder,30.3,DET,Wing,703,86,58.3%,43,23%,49,13%,28,3%,32,17%,93,32%,42,29%,71,60%
Alfonzo McKinnie,29.1,CHI,Forward,184,19,47.1%,66,35%,46,15%,52,6%,48,20%,76,20%,38,24%,53,44%
Jordan McLaughlin,25.6,MIN,Point,822,72,52.0%,92,39%,42,20%,0,2%,14,21%,94,15%,26,24%,56,40%
Ben McLemore,28.7,POR,Wing,1225,65,54.6%,13,13%,1,2%,64,10%,18,12%,83,25%,89,49%,93,75%
De'Anthony Melton,23.4,MEM,Combo,1612,55,50.7%,42,22%,47,18%,49,9%,43,27%,47,9%,76,42%,69,50%
Chimezie Metu,24.6,SAC,Big,1239,15,51.1%,15,31%,69,24%,71,7%,65,31%,85,13%,78,26%,84,38%
Khris Middleton,30.2,MIL,Forward,2133,45,52.3%,11,15%,84,24%,94,21%,93,45%,5,5%,71,36%,44,41%
Patty Mills,33.2,BKN,Combo,2310,81,55.2%,6,8%,1,5%,77,16%,20,21%,91,20%,93,51%,94,71%
Paul Millsap,36.7,BKN,Big,262,1,41.5%,39,45%,68,24%,36,2%,52,26%,81,11%,61,17%,66,28%
Shake Milton,25.1,PHI,Combo,1105,45,49.7%,67,31%,85,29%,51,9%,75,38%,48,9%,21,22%,19,31%
Davion Mitchell,23.2,SAC,Combo,2019,33,47.9%,57,26%,38,16%,93,21%,71,38%,15,5%,46,31%,34,37%
Donovan Mitchell,25.1,UTA,Combo,2263,73,53.5%,44,22%,65,23%,54,10%,57,33%,14,5%,69,40%,56,45%
Evan Mobley,20.4,CLE,Big,2322,23,52.3%,40,46%,90,34%,85,11%,93,45%,42,2%,40,8%,38,10%
Malik Monk,23.7,LAL,Combo,2096,90,57.7%,68,31%,24,14%,13,5%,13,19%,52,10%,73,41%,70,51%
Moses Moody,19.4,GSW,Wing,513,69,55.3%,61,29%,10,6%,55,8%,20,14%,64,21%,61,37%,66,57%
Xavier Moon,26.8,LAC,Point,125,60,51.0%,6,10%,52,22%,98,40%,96,62%,4,2%,40,26%,22,28%
Ja Morant,22.2,MEM,Point,1881,78,53.0%,94,43%,92,34%,14,4%,68,38%,8,2%,8,17%,6,19%
Marcus Morris,32.2,LAC,Big,1563,15,51.2%,0,8%,80,29%,99,26%,98,54%,69,9%,83,28%,81,38%
Markieff Morris,32.2,MIA,Big,286,34,54.1%,6,21%,76,28%,95,19%,94,47%,91,16%,56,16%,71,32%
Monte Morris,26.3,DEN,Point,2234,94,56.4%,42,23%,30,16%,92,22%,66,38%,90,14%,34,26%,54,40%
Mychal Mulder,27.4,ORL,Combo,171,11,41.7%,24,16%,14,11%,17,5%,10,16%,75,13%,96,54%,93,67%
Trey Murphy III,21.4,NOP,Forward,762,30,50.0%,37,26%,7,7%,32,3%,6,10%,91,27%,74,37%,87,64%
Dejounte Murray,25.1,SAS,Point,2364,50,50.0%,58,28%,82,29%,88,20%,86,50%,40,4%,12,18%,12,22%
Mike Muscala,30.3,OKC,Big,588,74,60.4%,4,20%,14,11%,74,7%,24,18%,79,11%,99,52%,98,63%
Sviatoslav Mykhailiuk,24.4,TOR,Wing,659,19,47.8%,60,29%,40,12%,42,6%,39,19%,57,18%,59,35%,58,53%
Abdel Nader,28.1,PHX,Wing,127,9,46.2%,89,45%,85,24%,0,0%,51,24%,51,17%,8,14%,14,31%
Larry Nance Jr.,28.8,NOP,Big,176,83,63.0%,67,59%,53,20%,68,6%,54,27%,66,8%,36,6%,42,14%
Larry Nance Jr.,28.8,POR,Big,841,52,56.8%,49,50%,41,18%,57,5%,39,23%,67,9%,64,19%,64,28%
Aaron Nesmith,22.0,BOS,Wing,440,6,42.1%,37,20%,47,13%,25,3%,31,16%,84,27%,62,37%,75,64%
Raul Neto,29.5,WAS,Combo,1315,54,50.6%,69,31%,96,38%,29,6%,85,44%,6,4%,18,21%,11,25%
Georges Niang,28.4,PHI,Big,1683,61,57.9%,3,16%,30,15%,29,2%,22,17%,95,22%,97,45%,98,67%
Daishen Nix,19.7,HOU,Point,210,44,49.0%,100,55%,32,16%,2,2%,6,18%,24,3%,24,24%,20,27%
Zeke Nnaji,20.8,DEN,Big,625,71,59.9%,50,50%,7,9%,64,5%,17,15%,92,16%,64,19%,77,35%
Nerlens Noel,27.6,NYK,Big,554,34,54.2%,68,60%,83,31%,69,6%,81,37%,48,3%,0,0%,25,3%
Jaylen Nowell,22.3,MIN,Combo,888,89,57.2%,61,28%,86,29%,39,8%,70,37%,41,8%,29,27%,27,35%
Frank Ntilikina,23.3,DAL,Wing,592,18,47.6%,24,15%,68,19%,87,15%,80,35%,59,19%,47,31%,53,50%
Jusuf Nurkic,27.2,POR,Big,1574,39,54.7%,74,65%,65,23%,54,4%,56,27%,22,0%,42,8%,35,8%
David Nwaba,28.8,HOU,Forward,507,44,52.1%,97,58%,66,18%,6,1%,34,18%,29,11%,12,13%,11,24%
Jordan Nwora,23.1,MIL,Wing,1054,32,50.9%,49,24%,45,13%,86,15%,61,27%,48,16%,53,33%,50,49%
Royce O'Neale,28.4,UTA,Wing,2399,92,59.9%,50,26%,14,7%,5,0%,6,7%,75,23%,81,43%,81,67%
Semi Ojeleye,26.9,MIL,Big,268,0,27.9%,1,11%,79,29%,26,2%,62,30%,96,27%,89,32%,96,59%
Chuma Okeke,23.2,ORL,Forward,1667,20,47.9%,21,21%,38,14%,41,4%,32,18%,56,16%,89,45%,83,61%
Josh Okogie,23.2,MIN,Forward,452,9,44.0%,95,56%,4,6%,10,1%,3,7%,89,25%,10,12%,35,37%
Onyeka Okongwu,20.9,ATL,Big,967,95,68.7%,86,78%,52,20%,21,1%,37,22%,0,0%,0,0%,0,0%
Isaac Okoro,20.8,CLE,Wing,1980,62,54.5%,98,58%,23,9%,14,1%,16,11%,79,24%,5,7%,16,32%
KZ Okpala,22.5,MIA,Big,200,2,43.8%,28,42%,71,25%,48,3%,58,28%,94,20%,47,10%,67,30%
Victor Oladipo,29.5,MIA,Combo,163,96,61.4%,62,28%,13,11%,69,13%,29,24%,31,7%,72,41%,64,48%
Kelly Olynyk,30.5,DET,Big,759,20,51.8%,23,38%,31,15%,78,9%,43,24%,39,2%,95,36%,82,38%
Cedi Osman,26.6,CLE,Forward,1440,71,54.6%,43,28%,23,11%,24,2%,19,14%,32,11%,93,47%,76,58%
Kelly Oubre,25.9,CHA,Forward,1931,55,53.3%,51,30%,30,12%,23,2%,21,15%,67,18%,76,37%,70,55%
Kevin Pangos,28.8,CLE,Combo,121,3,30.9%,7,9%,74,26%,25,6%,56,32%,4,3%,98,56%,84,59%
Jabari Parker,26.6,BOS,Big,102,72,60.0%,12,28%,24,14%,94,17%,62,31%,92,17%,74,25%,87,42%
Eric Paschall,25.0,UTA,Big,650,51,56.7%,31,42%,36,17%,27,2%,28,19%,96,23%,56,16%,84,39%
Chris Paul,36.5,PHX,Point,2134,82,54.1%,0,5%,88,33%,96,36%,100,69%,12,2%,20,23%,16,26%
Cameron Payne,27.2,PHX,Combo,1216,28,47.1%,53,25%,93,35%,26,6%,81,41%,7,4%,43,31%,25,34%
Elfrid Payton,27.7,PHX,Combo,433,7,37.6%,86,39%,100,49%,18,5%,96,54%,13,5%,0,3%,0,8%
Gary Payton II,28.9,GSW,Combo,1207,99,67.6%,99,54%,22,13%,2,1%,6,14%,92,20%,7,12%,22,33%
Reggie Perry,21.6,POR,Big,168,30,53.4%,42,47%,70,25%,84,10%,76,35%,35,1%,59,17%,49,18%
Jamorko Pickett,23.9,DET,Big,155,8,48.9%,1,8%,27,15%,34,2%,19,17%,97,27%,98,48%,100,75%
Theo Pinson,26.0,DAL,Wing,118,39,51.6%,21,15%,20,9%,60,9%,33,18%,10,6%,99,62%,83,68%
Mason Plumlee,31.7,CHA,Big,1787,88,64.4%,93,83%,35,17%,15,1%,24,17%,0,0%,0,0%,0,0%
Jakob Poeltl,26.0,SAS,Big,1967,78,61.7%,61,56%,97,42%,29,2%,91,44%,0,0%,0,0%,0,0%
Aleksej Pokusevski,19.8,OKC,Big,1200,4,47.3%,12,28%,69,24%,70,7%,64,31%,68,9%,91,33%,86,41%
Jordan Poole,22.4,GSW,Combo,2232,80,55.1%,47,23%,40,17%,45,8%,35,25%,49,9%,77,42%,73,51%
Kevin Porter,21.5,HOU,Point,1905,68,51.4%,60,28%,24,15%,32,9%,24,23%,50,5%,74,43%,74,48%
Michael Porter,23.3,DEN,Wing,264,5,41.2%,45,23%,24,10%,95,22%,72,32%,6,5%,72,40%,39,45%
Otto Porter,28.4,GSW,Forward,1373,82,56.2%,28,24%,55,16%,72,11%,68,27%,44,13%,70,36%,60,49%
Bobby Portis,26.7,MIL,Big,2019,45,55.6%,11,27%,65,23%,88,12%,78,36%,89,15%,69,22%,80,37%
Kristaps Porzingis,26.3,WAS,Big,478,28,53.3%,8,26%,89,33%,94,15%,95,48%,32,1%,75,25%,59,26%
Kristaps Porzingis,26.3,DAL,Big,1001,12,50.1%,14,30%,73,27%,91,13%,87,40%,33,1%,84,29%,68,30%
Dwight Powell,30.3,DAL,Big,1793,96,68.9%,88,80%,9,9%,38,2%,10,12%,36,2%,35,6%,34,8%
Norman Powell,28.4,POR,Wing,1331,63,54.6%,75,34%,61,16%,79,13%,69,29%,40,13%,28,24%,28,37%
Norman Powell,28.4,LAC,Wing,120,94,60.5%,67,30%,94,29%,56,8%,87,37%,15,7%,32,26%,19,33%
Joshua Primo,18.9,SAS,Forward,910,13,45.2%,40,28%,78,19%,56,7%,64,25%,61,17%,57,30%,57,47%
Taurean Prince,27.6,MIN,Forward,1172,84,56.6%,33,25%,49,16%,48,5%,50,21%,88,25%,56,30%,67,54%
Payton Pritchard,23.8,BOS,Point,881,100,58.0%,10,11%,6,8%,56,13%,12,21%,88,13%,96,55%,96,68%
Immanuel Quickley,22.4,NYK,Combo,1757,39,48.9%,13,13%,71,26%,56,10%,66,36%,19,6%,83,46%,72,51%
Julius Randle,26.9,NYK,Big,2537,3,46.0%,16,32%,52,20%,96,20%,88,40%,50,4%,72,25%,66,28%
Austin Reaves,23.4,LAL,Wing,1360,70,55.3%,69,31%,57,16%,47,7%,48,23%,46,15%,49,31%,46,46%
Cameron Reddish,22.2,NYK,Forward,198,18,46.7%,76,38%,60,17%,61,7%,57,24%,41,13%,44,25%,39,38%
Cameron Reddish,22.2,ATL,Forward,780,21,48.1%,46,29%,62,17%,83,13%,77,30%,43,13%,53,28%,41,41%
Davon Reed,26.4,DEN,Forward,608,98,62.2%,16,19%,29,12%,89,16%,72,28%,63,18%,67,35%,66,53%
Paul Reed,22.4,PHI,Big,237,63,58.2%,85,76%,29,15%,42,3%,25,18%,57,6%,0,0%,29,6%
Naz Reid,22.2,MIN,Big,1144,35,54.3%,55,52%,39,17%,8,0%,23,17%,65,8%,71,24%,70,31%
Nick Richards,23.9,CHA,Big,278,94,68.2%,92,82%,45,18%,0,0%,26,18%,0,0%,0,0%,0,0%
Josh Richardson,28.1,BOS,Combo,1065,68,53.0%,28,17%,58,21%,85,18%,79,39%,63,11%,50,33%,52,44%
Josh Richardson,28.1,SAS,Combo,512,74,53.7%,23,16%,61,22%,79,16%,74,38%,24,6%,70,40%,59,46%
Austin Rivers,29.3,DEN,Wing,1427,60,54.2%,48,24%,33,11%,7,1%,17,12%,91,30%,55,34%,74,64%
Duncan Robinson,27.5,MIA,Wing,2015,73,55.8%,7,9%,6,4%,17,2%,2,6%,71,22%,100,63%,99,85%
Justin Robinson,24.1,MIL,Point,156,14,42.9%,4,10%,8,10%,50,12%,16,21%,98,17%,94,52%,100,69%
Mitchell Robinson,23.6,NYK,Big,1847,100,76.1%,100,97%,0,3%,0,0%,0,3%,0,0%,0,0%,0,0%
Jeremiah Robinson-Earl,21.0,OKC,Big,1068,11,49.7%,18,34%,24,14%,64,6%,32,19%,86,14%,92,34%,92,47%
Isaiah Roby,23.7,OKC,Big,908,70,59.0%,45,48%,66,24%,33,2%,51,26%,64,7%,62,19%,60,26%
Rajon Rondo,35.7,LAL,Point,270,6,38.8%,86,36%,46,21%,6,3%,26,24%,64,7%,54,33%,60,40%
Rajon Rondo,35.7,CLE,Combo,407,51,50.5%,50,24%,51,19%,15,5%,28,24%,37,8%,81,45%,75,52%
Derrick Rose,33.1,NYK,Point,629,66,51.3%,70,31%,62,25%,54,12%,60,37%,54,6%,36,26%,30,32%
Terrence Ross,30.7,ORL,Wing,1447,15,47.3%,28,16%,69,19%,92,19%,90,38%,16,7%,65,39%,43,46%
Terry Rozier,27.6,CHA,Combo,2437,75,53.9%,48,24%,45,17%,53,10%,42,27%,88,19%,42,31%,68,49%
