Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
R.J. Hampton,20.7,ORL,Combo,1325,25,45.7%,17,40.0%,53,35.9%,6,63.4%,48,55%,74,27%,29,43%,26,92%
Tim Hardaway Jr.,29.6,DAL,Wing,1234,28,49.6%,24,47.3%,32,34.0%,32,76.8%,50,74%,22,74%,41,63%,81,81%
James Harden,32.2,PHI,Point,787,38,48.6%,52,47.6%,38,33.1%,89,89.0%,74,29%,72,24%,6,36%,92,30%
James Harden,32.2,BKN,Point,1626,42,48.9%,54,47.6%,40,33.2%,75,86.9%,92,19%,78,18%,78,13%,96,24%
Maurice Harkless,28.5,SAC,Forward,863,73,54.7%,95,65.0%,23,31.0%,0,72.0%,13,87%,6,84%,62,56%,0,100%
Montrezl Harrell,27.8,WAS,Big,1089,91,65.5%,91,66.3%,0,25.0%,49,72.7%,82,64%,49,68%,85,51%,24,100%
Montrezl Harrell,27.8,CHA,Big,506,88,64.4%,85,64.4%,0,,29,68.6%,75,68%,36,71%,90,46%,0,
Gary Harris,27.1,ORL,Wing,1729,57,53.9%,42,49.4%,71,38.4%,87,87.4%,43,75%,54,58%,46,60%,48,93%
Joe Harris,30.2,BKN,Wing,422,99,62.7%,11,42.9%,98,47.1%,0,83.3%,0,96%,0,100%,25,75%,1,100%
Tobias Harris,29.3,PHI,Forward,2541,56,53.3%,50,52.4%,75,37.3%,73,84.2%,89,54%,72,56%,93,33%,74,89%
Josh Hart,26.7,NOP,Wing,1368,74,55.9%,90,59.8%,25,32.0%,29,76.2%,82,58%,78,49%,51,57%,66,88%
Josh Hart,26.7,POR,Combo,415,94,59.4%,97,61.0%,65,37.8%,26,78.2%,68,46%,63,37%,25,47%,91,58%
Isaiah Hartenstein,23.5,LAC,Big,1118,82,63.0%,81,64.1%,37,31.8%,32,69.0%,38,77%,37,70%,21,88%,24,100%
Jaxson Hayes,21.4,NOP,Big,1347,85,63.6%,88,65.9%,38,31.9%,65,76.0%,32,78%,17,77%,49,74%,82,93%
Killian Hayes,20.3,DET,Point,1619,16,44.0%,34,45.5%,6,27.0%,36,77.0%,28,49%,30,37%,18,32%,10,93%
Gordon Hayward,31.6,CHA,Wing,1561,49,52.8%,44,49.6%,76,39.1%,72,84.6%,65,67%,43,64%,58,52%,71,87%
Juan Hernangomez,26.1,UTA,Big,270,80,62.5%,65,60.9%,92,42.2%,0,47.1%,1,94%,8,85%,1,100%,24,100%
Willy Hernangomez,27.4,NOP,Big,772,16,51.2%,15,51.4%,0,30.0%,74,78.0%,59,71%,52,67%,33,82%,24,100%
Tyler Herro,21.8,MIA,Combo,2109,66,52.4%,48,47.6%,80,40.0%,82,86.5%,66,46%,52,42%,62,29%,72,71%
Buddy Hield,28.9,SAC,Wing,1557,35,51.2%,9,42.1%,51,36.3%,85,87.0%,52,73%,75,49%,68,48%,76,84%
Buddy Hield,28.9,IND,Wing,924,66,54.7%,76,54.6%,53,36.4%,92,88.6%,77,61%,75,49%,86,33%,73,86%
Haywood Highsmith,24.9,MIA,Big,133,16,51.2%,1,41.2%,83,39.1%,0,0.0%,2,94%,54,67%,1,100%,24,100%
George Hill,35.5,MIL,Combo,1235,59,51.3%,84,54.7%,30,31.8%,96,91.4%,33,62%,36,48%,50,33%,23,93%
Malcolm Hill,26.0,CHI,Forward,157,88,57.5%,96,66.7%,63,35.7%,0,66.7%,51,72%,95,33%,19,80%,90,80%
Solomon Hill,30.6,ATL,Forward,124,0,25.0%,0,16.7%,0,20.0%,0,,0,100%,0,100%,0,,0,100%
Jaylen Hoard,22.6,OKC,Wing,233,58,53.9%,66,53.8%,45,36.0%,0,42.9%,86,52%,88,40%,61,50%,61,89%
Aaron Holiday,25.1,WAS,Combo,619,60,51.5%,75,52.5%,36,32.8%,31,78.8%,69,45%,56,40%,42,36%,70,71%
Aaron Holiday,25.1,PHX,Point,310,22,45.3%,6,37.7%,100,43.3%,0,96.0%,62,38%,38,33%,42,24%,66,62%
Jrue Holiday,31.4,MIL,Point,2201,98,57.2%,96,54.7%,91,41.3%,28,76.1%,86,26%,50,32%,90,9%,88,43%
Justin Holiday,32.6,SAC,Wing,637,16,47.3%,6,36.2%,33,34.5%,0,73.7%,20,86%,26,71%,49,57%,45,94%
Justin Holiday,32.6,IND,Wing,1413,72,55.7%,54,51.6%,64,37.9%,57,82.9%,6,92%,16,77%,13,89%,30,97%
Richaun Holmes,28.0,SAC,Big,1071,92,66.1%,89,66.2%,0,40.0%,72,77.8%,45,75%,55,66%,16,90%,24,100%
Rodney Hood,29.0,MIL,Forward,527,15,45.7%,3,40.9%,29,31.9%,0,91.7%,34,78%,28,70%,66,50%,69,91%
Al Horford,35.4,BOS,Big,2003,41,54.9%,54,58.2%,53,33.8%,92,84.2%,29,78%,42,69%,62,66%,72,98%
Talen Horton-Tucker,20.9,LAL,Wing,1470,11,46.6%,36,48.7%,9,27.8%,39,79.2%,89,50%,70,50%,99,20%,83,81%
Danuel House,28.4,UTA,Wing,482,90,59.2%,46,50.0%,93,42.5%,11,70.3%,17,87%,39,65%,2,100%,29,97%
Danuel House,28.4,HOU,Forward,220,10,44.1%,1,38.5%,49,34.5%,0,88.2%,27,80%,2,90%,53,60%,90,80%
Dwight Howard,35.9,LAL,Big,950,80,62.5%,73,61.9%,0,50.0%,25,65.8%,68,69%,57,66%,1,100%,24,100%
Markus Howard,22.7,DEN,Combo,110,67,52.5%,17,40.0%,71,39.0%,0,87.5%,3,88%,10,67%,15,60%,0,100%
Kevin Huerter,23.2,ATL,Wing,2177,77,56.0%,61,53.2%,75,38.9%,44,80.0%,59,70%,33,67%,73,44%,58,91%
Elijah Hughes,23.6,POR,Forward,271,1,35.6%,2,38.9%,3,22.2%,0,75.0%,86,58%,59,60%,90,33%,95,75%
DeAndre Hunter,23.9,ATL,Forward,1575,39,51.0%,19,47.4%,78,37.9%,47,76.5%,47,74%,31,70%,48,63%,61,93%
Nah'Shon Hyland,21.1,DEN,Combo,1252,58,51.3%,45,46.6%,56,36.2%,63,84.7%,50,55%,48,44%,61,29%,74,69%
Serge Ibaka,32.1,LAC,Big,534,44,55.5%,26,53.8%,85,39.3%,38,70.4%,32,78%,73,60%,44,78%,24,100%
Serge Ibaka,32.1,MIL,Big,330,67,58.9%,70,61.5%,64,36.1%,0,80.0%,34,77%,91,52%,12,94%,24,100%
Andre Iguodala,37.8,GSW,Forward,598,17,46.6%,90,61.7%,10,24.3%,0,75.0%,48,74%,33,68%,77,43%,52,94%
Joe Ingles,34.1,UTA,Forward,1117,61,54.1%,89,61.7%,52,34.7%,0,77.3%,57,71%,73,56%,46,63%,94,77%
Brandon Ingram,24.2,NOP,Forward,1865,29,49.9%,30,50.2%,33,32.7%,60,82.6%,93,48%,85,47%,87,37%,71,90%
Kyrie Irving,29.6,BKN,Combo,1083,79,55.0%,60,50.0%,88,42.0%,94,91.3%,86,36%,71,33%,85,20%,87,59%
Frank Jackson,23.5,DET,Combo,1147,41,49.5%,75,52.5%,23,31.1%,51,82.8%,11,79%,8,69%,11,66%,20,94%
Isaiah Jackson,19.8,IND,Big,495,57,57.5%,58,59.0%,0,26.7%,29,68.0%,38,77%,22,75%,26,85%,24,100%
Jaren Jackson,22.1,MEM,Big,2112,5,47.8%,8,47.5%,42,32.4%,88,82.2%,69,69%,78,58%,79,55%,69,98%
Josh Jackson,24.7,DET,Forward,676,16,46.4%,32,50.8%,17,27.4%,26,70.6%,82,61%,74,55%,79,40%,80,86%
Josh Jackson,24.7,SAC,Forward,109,3,41.1%,12,45.2%,0,21.4%,0,71.4%,77,65%,76,55%,37,67%,0,100%
Reggie Jackson,31.5,LAC,Combo,2331,27,46.7%,34,44.0%,37,33.1%,62,84.5%,89,34%,76,27%,91,16%,88,59%
LeBron James,36.8,LAL,Big,2078,67,58.9%,74,61.9%,63,36.0%,63,75.6%,99,45%,94,49%,99,15%,98,56%
Ty Jerome,24.3,OKC,Combo,759,29,47.2%,52,48.5%,20,30.6%,37,79.5%,54,52%,50,43%,67,27%,55,79%
Isaiah Joe,22.3,PHI,Combo,518,61,51.5%,23,41.9%,54,36.0%,0,94.4%,1,92%,4,86%,18,50%,0,100%
Cameron Johnson,25.7,PHX,Forward,1670,94,59.7%,40,51.9%,97,42.9%,81,85.6%,15,86%,52,61%,18,82%,30,98%
James Johnson,34.7,BKN,Big,1139,13,50.3%,32,54.8%,11,25.0%,5,52.9%,94,56%,81,56%,98,21%,89,90%
Keldon Johnson,21.9,SAS,Forward,2390,72,54.7%,33,51.0%,90,40.3%,44,75.6%,45,75%,34,68%,52,60%,37,97%
Keon Johnson,19.6,LAC,Wing,111,3,36.5%,3,31.0%,0,37.5%,0,81.3%,29,83%,4,88%,2,100%,94,67%
Keon Johnson,19.6,POR,Combo,491,17,44.1%,12,37.9%,50,35.4%,0,73.7%,62,47%,30,50%,62,29%,94,54%
Stanley Johnson,25.4,LAL,Forward,1055,69,54.6%,79,57.7%,38,33.3%,23,69.1%,71,66%,81,50%,45,63%,55,94%
Nikola Jokic,26.7,DEN,Big,2473,79,62.3%,86,65.3%,56,34.2%,83,80.9%,86,62%,89,52%,65,64%,86,92%
Damian Jones,26.3,SAC,Big,977,94,68.2%,95,69.4%,81,38.5%,41,71.2%,21,80%,16,77%,20,89%,89,90%
Herbert Jones,23.1,NOP,Forward,2321,48,52.5%,55,53.1%,48,34.1%,69,84.0%,61,71%,59,60%,30,75%,0,100%
Tre Jones,21.8,SAS,Combo,1064,62,51.8%,82,54.3%,6,23.1%,25,77.4%,63,47%,24,54%,38,37%,57,78%
Tyus Jones,25.5,MEM,Combo,1524,70,53.2%,57,49.3%,76,39.7%,43,80.6%,57,52%,49,44%,45,35%,44,84%
Derrick Jones Jr.,24.7,CHI,Big,861,71,59.3%,78,63.1%,54,33.9%,80,79.1%,33,77%,39,70%,1,100%,24,100%
DeAndre Jordan,33.3,LAL,Big,393,92,66.3%,90,66.3%,0,,2,46.2%,24,79%,14,79%,1,100%,0,
DeAndre Jordan,33.3,PHI,Big,196,61,58.0%,52,58.0%,0,,0,71.4%,9,86%,5,86%,0,,0,
Cory Joseph,30.2,DET,Combo,1590,69,53.1%,44,46.5%,89,42.3%,93,89.1%,45,58%,27,52%,69,27%,33,89%
Georgios Kalaitzakis,22.8,OKC,Big,165,31,53.6%,21,52.9%,68,36.4%,0,47.6%,88,62%,42,69%,98,20%,96,75%
Frank Kaminsky,28.6,PHX,Big,167,80,62.5%,76,62.5%,0,41.7%,0,90.0%,35,77%,33,71%,46,75%,24,100%
Enes Kanter,29.5,BOS,Big,365,21,51.9%,22,53.2%,0,0.0%,0,88.0%,100,40%,100,29%,21,88%,0,
Luke Kennard,25.4,LAC,Wing,1893,91,59.6%,17,44.8%,97,44.8%,99,90.8%,30,83%,24,72%,39,64%,52,91%
Braxton Key,24.7,DET,Forward,190,37,50.7%,41,52.0%,26,31.6%,0,53.8%,33,78%,19,73%,2,100%,86,83%
Corey Kispert,22.7,WAS,Wing,1731,84,57.6%,94,62.4%,49,36.2%,89,87.5%,9,91%,6,86%,23,76%,22,98%
Maxi Kleber,29.8,DAL,Big,1435,19,51.6%,54,58.2%,41,32.3%,39,70.8%,2,93%,5,86%,25,86%,67,99%
Nathan Knight,24.1,MIN,Big,179,26,53.2%,25,53.7%,0,33.3%,0,62.5%,57,72%,42,69%,59,67%,24,100%
John Konchar,25.6,MEM,Wing,1135,97,61.8%,93,61.1%,91,41.7%,0,55.1%,56,70%,69,51%,22,77%,55,91%
Furkan Korkmaz,24.3,PHI,Wing,1342,20,48.0%,56,52.0%,14,29.7%,42,79.7%,71,66%,63,55%,71,46%,72,86%
Vit Krejci,21.4,OKC,Forward,670,53,53.2%,60,54.5%,54,34.8%,0,85.0%,52,72%,44,64%,88,36%,70,91%
Jonathan Kuminga,19.1,GSW,Big,1072,45,55.6%,61,59.4%,32,31.2%,36,70.0%,73,68%,69,62%,78,56%,24,100%
Kyle Kuzma,26.3,WAS,Big,2203,24,52.3%,19,52.7%,57,34.4%,42,71.2%,89,61%,89,53%,91,45%,92,88%
Zach LaVine,26.6,CHI,Wing,2322,72,55.6%,63,53.4%,82,39.3%,78,85.3%,95,42%,82,46%,100,16%,99,57%
Jeremy Lamb,29.4,SAC,Wing,317,17,47.4%,33,48.5%,16,30.6%,73,84.6%,93,45%,83,46%,87,32%,97,60%
Jeremy Lamb,29.4,IND,Wing,577,23,48.3%,10,42.2%,39,35.2%,65,83.8%,79,60%,45,64%,93,25%,61,89%
Jock Landale,26.0,SAS,Big,513,38,54.7%,64,60.8%,33,31.3%,90,83.3%,28,78%,31,73%,80,55%,24,100%
Romeo Langford,22.0,BOS,Wing,672,26,49.1%,38,48.9%,24,31.9%,1,59.4%,38,80%,41,64%,15,83%,36,96%
Jake Layman,27.7,MIN,Forward,118,68,54.4%,100,77.8%,1,18.8%,0,88.9%,61,71%,76,55%,2,100%,0,100%
Caris LeVert,27.2,IND,Combo,1213,42,49.6%,62,50.1%,34,32.3%,21,76.0%,85,36%,57,40%,79,21%,93,57%
Caris LeVert,27.2,CLE,Wing,566,21,48.1%,33,48.5%,20,31.3%,25,74.5%,94,43%,86,42%,94,24%,82,81%
Damion Lee,29.0,GSW,Wing,1157,53,53.3%,75,54.6%,35,34.7%,97,90.5%,21,86%,17,77%,17,80%,19,98%
Saben Lee,22.4,DET,Point,553,10,42.3%,30,44.9%,0,25.0%,67,85.0%,20,53%,12,46%,2,43%,28,79%
Alex Len,28.4,SAC,Big,616,40,54.9%,44,56.5%,22,28.6%,23,65.1%,26,78%,38,70%,16,90%,24,100%
Kira Lewis Jr.,20.6,NOP,Point,301,28,47.6%,78,51.9%,9,27.1%,0,88.9%,16,57%,2,56%,4,38%,20,85%
Damian Lillard,31.3,POR,Point,1054,46,49.8%,62,48.5%,34,32.5%,86,87.8%,70,30%,88,14%,28,27%,86,45%
Nassir Little,21.7,POR,Forward,1050,63,54.2%,76,57.5%,44,33.6%,31,72.2%,37,77%,23,71%,55,59%,56,94%
Isaiah Livers,23.3,DET,Wing,381,95,60.6%,66,53.8%,92,42.2%,0,85.7%,26,85%,61,56%,17,80%,32,96%
Kevon Looney,25.7,GSW,Big,1729,54,57.1%,48,57.3%,0,0.0%,11,60.0%,52,74%,35,71%,27,84%,0,
Brook Lopez,33.6,MIL,Big,293,32,53.8%,26,53.8%,62,35.8%,0,87.0%,25,79%,48,68%,21,88%,78,95%
Robin Lopez,33.6,ORL,Big,592,43,55.3%,36,55.4%,0,33.3%,16,61.2%,96,51%,99,40%,74,59%,24,100%
Didi Louzada,22.3,POR,Combo,120,88,56.9%,4,30.0%,98,47.4%,0,100.0%,6,83%,97,0%,18,50%,0,100%
Kevin Love,33.1,CLE,Big,1662,44,55.3%,11,49.3%,84,39.2%,93,84.3%,29,78%,87,55%,72,59%,82,94%
Kyle Lowry,35.6,MIA,Point,2136,92,56.2%,92,54.1%,74,38.1%,64,85.0%,30,48%,52,32%,26,28%,58,65%
Timothe Luwawu-Cabarrot,26.5,ATL,Wing,615,45,52.5%,46,50.0%,42,35.8%,76,84.8%,13,89%,20,75%,61,50%,1,100%
Trey Lyles,26.0,SAC,Big,542,46,55.6%,39,55.7%,74,37.1%,94,85.1%,55,72%,62,65%,86,50%,24,100%
Trey Lyles,26.0,DET,Big,982,19,51.6%,33,54.9%,28,30.6%,75,78.1%,66,70%,72,60%,75,57%,24,100%
Theo Maledon,20.4,OKC,Combo,873,18,44.2%,33,43.9%,19,30.2%,29,78.7%,34,61%,62,39%,18,50%,36,88%
Sandro Mamukelashvili,22.4,MIL,Big,325,35,54.3%,24,53.6%,69,36.8%,0,85.7%,46,75%,73,60%,36,80%,24,100%
Terance Mann,25.0,LAC,Combo,2250,75,54.0%,77,53.0%,63,37.7%,28,78.4%,40,59%,21,57%,31,41%,38,86%
Tre Mann,20.7,OKC,Combo,1326,32,47.8%,25,42.9%,51,35.5%,49,81.8%,70,45%,58,40%,76,24%,75,67%
Boban Marjanovic,33.2,DAL,Big,104,73,60.3%,69,61.4%,0,0.0%,0,56.3%,35,77%,9,83%,56,71%,0,
Lauri Markkanen,24.4,CLE,Forward,1874,70,54.6%,63,55.0%,66,36.0%,85,87.1%,21,82%,22,71%,49,62%,22,99%
Naji Marshall,23.8,NOP,Wing,629,6,43.3%,69,54.0%,0,17.1%,44,80.0%,73,63%,41,64%,57,52%,89,77%
Caleb Martin,26.1,MIA,Forward,1303,91,59.2%,68,56.8%,94,42.1%,50,78.3%,59,71%,54,61%,41,65%,62,93%
Cody Martin,26.1,CHA,Wing,1810,78,56.0%,74,54.4%,74,38.9%,10,70.1%,54,71%,39,65%,47,59%,64,89%
Kelan Martin,26.2,IND,Forward,412,26,49.4%,47,52.3%,22,30.6%,0,69.2%,36,78%,36,67%,37,67%,0,100%
Kenyon Martin Jr.,20.8,HOU,Forward,1547,90,58.1%,88,60.7%,57,35.0%,6,61.7%,28,80%,18,74%,30,75%,0,100%
Garrison Mathews,25.0,HOU,Wing,1668,68,55.1%,89,59.5%,47,36.1%,44,80.0%,6,92%,25,72%,2,100%,26,98%
Wesley Matthews,35.0,MIL,Wing,986,37,51.4%,62,53.2%,31,33.5%,0,75.0%,22,86%,17,77%,89,29%,24,98%
Tyrese Maxey,21.0,PHI,Combo,2637,84,55.8%,69,51.2%,94,43.8%,85,87.1%,55,52%,35,48%,34,40%,69,72%
Skylar Mays,24.2,ATL,Combo,166,83,55.8%,98,64.5%,31,31.8%,0,100.0%,42,59%,30,50%,71,25%,0,100%
Miles McBride,21.1,NYK,Point,324,8,41.2%,44,46.7%,2,25.5%,0,50.0%,34,46%,68,25%,64,17%,46,71%
CJ McCollum,30.1,NOP,Combo,878,87,56.4%,86,54.9%,73,39.4%,9,66.7%,81,39%,77,26%,60,30%,81,66%
CJ McCollum,30.1,POR,Wing,1261,41,52.0%,28,47.7%,70,38.4%,9,69.7%,97,39%,96,21%,95,23%,94,66%
TJ McConnell,29.6,IND,Point,637,64,51.3%,76,51.5%,43,33.3%,0,81.0%,66,33%,28,37%,60,17%,14,90%
Jaden McDaniels,21.1,MIN,Forward,1771,66,54.4%,80,58.3%,35,33.1%,58,81.2%,23,81%,13,77%,51,62%,26,99%
Jalen McDaniels,23.8,CHA,Wing,829,75,55.9%,68,54.0%,75,39.0%,22,72.7%,44,75%,50,62%,39,64%,1,100%
Doug McDermott,29.8,SAS,Forward,1220,89,57.7%,31,50.7%,95,42.2%,52,78.4%,4,92%,5,84%,10,88%,23,99%
JaVale McGee,33.8,PHX,Big,1152,84,63.1%,79,63.4%,0,25.0%,35,69.7%,70,69%,56,66%,48,75%,24,100%
Rodney McGruder,30.3,DET,Wing,703,86,58.3%,53,51.3%,90,41.2%,0,75.0%,19,86%,37,65%,30,69%,1,100%
Alfonzo McKinnie,29.1,CHI,Forward,184,19,47.1%,10,44.4%,38,33.3%,0,25.0%,16,85%,36,67%,2,100%,0,100%
Jordan McLaughlin,25.6,MIN,Point,822,72,52.0%,90,53.4%,43,33.3%,14,74.3%,10,60%,6,50%,0,47%,24,84%
Ben McLemore,28.7,POR,Wing,1225,65,54.6%,57,52.1%,57,36.9%,52,81.2%,5,93%,6,87%,20,79%,31,97%
De'Anthony Melton,23.4,MEM,Combo,1612,55,50.7%,29,43.5%,66,38.1%,19,74.1%,25,66%,22,57%,39,37%,40,85%
Chimezie Metu,24.6,SAC,Big,1239,15,51.1%,37,55.5%,27,30.1%,71,77.5%,19,81%,6,86%,71,61%,76,96%
Khris Middleton,30.2,MIL,Forward,2133,45,52.3%,27,49.4%,76,37.4%,92,89.0%,95,44%,91,42%,95,29%,96,63%
Patty Mills,33.2,BKN,Combo,2310,81,55.2%,28,43.0%,81,40.1%,46,81.4%,8,83%,9,68%,16,59%,24,92%
Paul Millsap,36.7,BKN,Big,262,1,41.5%,2,43.9%,8,24.0%,0,70.6%,92,58%,98,44%,76,57%,24,100%
Shake Milton,25.1,PHI,Combo,1105,45,49.7%,59,49.8%,35,32.8%,56,83.3%,58,52%,64,36%,37,39%,19,95%
Davion Mitchell,23.2,SAC,Combo,2019,33,47.9%,50,47.7%,33,32.1%,7,65.5%,87,35%,80,25%,78,22%,79,66%
Donovan Mitchell,25.1,UTA,Combo,2263,73,53.5%,79,53.3%,52,35.7%,69,85.3%,97,29%,87,20%,92,15%,98,48%
Evan Mobley,20.4,CLE,Big,2322,23,52.3%,28,54.0%,13,25.3%,26,65.9%,76,67%,34,71%,79,55%,78,96%
Malik Monk,23.7,LAL,Combo,2096,90,57.7%,92,56.6%,72,39.2%,35,79.5%,24,67%,15,62%,56,33%,41,84%
Moses Moody,19.4,GSW,Wing,513,69,55.3%,59,52.5%,65,38.0%,41,79.3%,15,88%,15,79%,49,57%,1,100%
Xavier Moon,26.8,LAC,Point,125,60,51.0%,86,52.8%,0,30.8%,0,60.0%,88,26%,96,0%,58,18%,38,75%
Ja Morant,22.2,MEM,Point,1881,78,53.0%,88,53.4%,51,34.3%,31,76.1%,76,28%,46,33%,84,12%,82,49%
Marcus Morris,32.2,LAC,Big,1563,15,51.2%,9,47.8%,76,37.3%,98,87.2%,95,52%,84,56%,96,29%,88,90%
Markieff Morris,32.2,MIA,Big,286,34,54.1%,43,56.2%,48,33.3%,0,88.9%,86,62%,54,67%,94,42%,24,100%
Monte Morris,26.3,DEN,Point,2234,94,56.4%,94,54.6%,85,39.4%,78,86.9%,6,62%,0,63%,12,35%,8,93%
Mychal Mulder,27.4,ORL,Combo,171,11,41.7%,9,36.8%,14,29.3%,0,100.0%,5,84%,17,60%,18,50%,0,100%
Trey Murphy III,21.4,NOP,Forward,762,30,50.0%,9,43.2%,58,35.3%,89,87.5%,29,79%,89,44%,19,80%,39,96%
Dejounte Murray,25.1,SAS,Point,2364,50,50.0%,68,50.4%,36,32.5%,39,79.6%,80,27%,62,28%,82,12%,48,71%
Mike Muscala,30.3,OKC,Big,588,74,60.4%,14,51.2%,94,43.2%,92,84.2%,3,93%,25,74%,14,94%,24,100%
Sviatoslav Mykhailiuk,24.4,TOR,Wing,659,19,47.8%,51,51.1%,13,29.6%,91,88.2%,55,71%,52,59%,74,44%,44,94%
Abdel Nader,28.1,PHX,Wing,127,9,46.2%,5,35.3%,0,44.4%,0,50.0%,58,70%,70,50%,0,,1,100%
Larry Nance Jr.,28.8,NOP,Big,176,83,63.0%,58,59.0%,0,57.1%,0,100.0%,16,81%,18,76%,1,100%,24,100%
Larry Nance Jr.,28.8,POR,Big,841,52,56.8%,68,61.2%,31,31.0%,22,64.6%,56,72%,71,61%,35,81%,24,100%
Aaron Nesmith,22.0,BOS,Wing,440,6,42.1%,91,60.5%,3,21.4%,0,78.6%,14,89%,29,71%,2,100%,1,100%
Raul Neto,29.5,WAS,Combo,1315,54,50.6%,76,52.6%,15,30.0%,22,76.3%,78,41%,54,40%,62,29%,67,73%
Georges Niang,28.4,PHI,Big,1683,61,57.9%,14,51.2%,87,40.5%,96,86.5%,5,88%,36,71%,54,72%,72,98%
Daishen Nix,19.7,HOU,Point,210,44,49.0%,50,47.1%,57,35.3%,0,52.2%,22,50%,10,47%,94,0%,52,67%
Zeke Nnaji,20.8,DEN,Big,625,71,59.9%,44,56.7%,94,43.1%,14,61.1%,60,71%,82,56%,54,71%,76,96%
Nerlens Noel,27.6,NYK,Big,554,34,54.2%,42,56.1%,0,0.0%,36,70.0%,46,75%,26,74%,46,77%,0,
Jaylen Nowell,22.3,MIN,Combo,888,89,57.2%,80,53.3%,90,42.3%,32,79.1%,49,55%,29,51%,41,37%,53,79%
Frank Ntilikina,23.3,DAL,Wing,592,18,47.6%,7,40.4%,48,36.1%,0,95.8%,51,73%,94,30%,30,69%,63,89%
Jusuf Nurkic,27.2,POR,Big,1574,39,54.7%,41,56.1%,15,26.8%,33,69.0%,84,64%,54,67%,86,50%,82,93%
David Nwaba,28.8,HOU,Forward,507,44,52.1%,56,53.8%,26,31.6%,32,72.9%,78,63%,71,56%,66,50%,0,100%
Jordan Nwora,23.1,MIL,Wing,1054,32,50.9%,28,47.7%,46,36.0%,82,86.7%,61,69%,39,65%,48,58%,87,77%
Royce O'Neale,28.4,UTA,Wing,2399,92,59.9%,92,60.9%,81,39.3%,49,80.4%,23,86%,38,65%,15,83%,20,98%
Semi Ojeleye,26.9,MIL,Big,268,0,27.9%,0,20.8%,5,21.6%,0,77.8%,12,85%,0,100%,59,67%,92,88%
Chuma Okeke,23.2,ORL,Forward,1667,20,47.9%,24,49.0%,25,31.4%,71,84.1%,38,77%,67,57%,71,47%,34,97%
Josh Okogie,23.2,MIN,Forward,452,9,44.0%,23,48.9%,11,25.0%,18,67.5%,54,72%,62,59%,2,100%,0,100%
Onyeka Okongwu,20.9,ATL,Big,967,95,68.7%,95,68.8%,0,,44,71.6%,22,80%,14,78%,24,86%,0,
Isaac Okoro,20.8,CLE,Wing,1980,62,54.5%,81,55.5%,40,35.3%,30,76.5%,40,78%,23,73%,61,50%,43,95%
KZ Okpala,22.5,MIA,Big,200,2,43.8%,3,44.7%,19,27.8%,0,66.7%,16,82%,30,73%,28,83%,24,100%
Victor Oladipo,29.5,MIA,Combo,163,96,61.4%,91,56.3%,96,44.1%,0,72.2%,96,30%,75,27%,98,0%,100,47%
Kelly Olynyk,30.5,DET,Big,759,20,51.8%,19,52.7%,52,33.6%,71,77.5%,62,71%,70,61%,63,65%,91,90%
Cedi Osman,26.6,CLE,Forward,1440,71,54.6%,62,54.8%,68,36.0%,11,65.9%,30,79%,21,72%,47,63%,79,87%
Kelly Oubre,25.9,CHA,Forward,1931,55,53.3%,69,56.9%,46,34.0%,21,68.9%,41,76%,47,63%,61,56%,57,94%
Kevin Pangos,28.8,CLE,Combo,121,3,30.9%,25,42.9%,1,15.0%,0,100.0%,90,33%,97,0%,83,20%,78,67%
Jabari Parker,26.6,BOS,Big,102,72,60.0%,4,45.0%,0,53.3%,0,100.0%,41,76%,12,80%,86,50%,92,88%
Eric Paschall,25.0,UTA,Big,650,51,56.7%,56,58.5%,66,36.3%,56,74.3%,71,69%,81,57%,77,56%,81,94%
Chris Paul,36.5,PHX,Point,2134,82,54.1%,100,55.8%,32,32.5%,53,83.8%,98,15%,92,10%,88,10%,90,41%
Cameron Payne,27.2,PHX,Combo,1216,28,47.1%,38,44.6%,42,34.0%,60,84.1%,95,32%,89,20%,86,19%,84,62%
Elfrid Payton,27.7,PHX,Combo,433,7,37.6%,14,38.5%,0,18.2%,0,39.3%,98,27%,92,18%,66,28%,0,100%
Gary Payton II,28.9,GSW,Combo,1207,99,67.6%,99,76.3%,43,34.2%,4,59.6%,9,83%,6,77%,6,86%,0,100%
Reggie Perry,21.6,POR,Big,168,30,53.4%,67,61.0%,0,14.3%,0,53.8%,72,68%,46,68%,67,64%,24,100%
Jamorko Pickett,23.9,DET,Big,155,8,48.9%,4,45.5%,48,33.3%,0,50.0%,5,88%,92,50%,1,100%,87,92%
Theo Pinson,26.0,DAL,Wing,118,39,51.6%,46,50.0%,36,34.8%,0,100.0%,66,67%,98,0%,84,33%,69,88%
Mason Plumlee,31.7,CHA,Big,1787,88,64.4%,84,64.4%,0,0.0%,0,39.4%,33,77%,13,79%,68,63%,0,
Jakob Poeltl,26.0,SAS,Big,1967,78,61.7%,72,61.7%,0,,4,49.5%,65,70%,59,66%,42,78%,0,
Aleksej Pokusevski,19.8,OKC,Big,1200,4,47.3%,12,50.0%,23,28.9%,30,68.8%,76,67%,92,50%,69,62%,79,95%
