Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Troy Brown,22.3,CHI,Forward,955,11,11.2%,28,104.4,39,7.8%,66,0.70,85,7.9%
Jalen Brunson,25.2,DAL,Combo,2519,75,23.8%,82,117.4,75,23.8%,67,1.00,77,9.4%
Thomas Bryant,24.3,WAS,Big,416,54,16.7%,66,123.0,53,8.7%,46,0.52,70,11.1%
Reggie Bullock,30.6,DAL,Forward,1893,17,12.0%,65,114.5,16,6.1%,35,0.51,86,7.8%
Trey Burke,29.0,DAL,Combo,351,89,27.3%,23,98.3,61,21.6%,35,0.79,66,10.2%
Alec Burks,30.3,NYK,Combo,2309,31,18.2%,67,112.7,34,15.8%,47,0.87,76,9.4%
Jared Butler,21.2,UTA,Combo,266,77,24.2%,33,101.8,70,23.2%,61,0.96,14,15.5%
Jimmy Butler,32.1,MIA,Forward,1926,95,28.1%,85,119.1,96,26.4%,91,0.94,63,9.9%
Kentavious Caldwell-Pope,28.7,WAS,Wing,2326,61,17.7%,63,114.5,43,9.0%,29,0.51,45,10.5%
Facundo Campazzo,30.6,DEN,Point,1098,10,17.6%,32,102.3,50,27.5%,94,1.56,38,13.4%
Vlatko Cancar,24.6,DEN,Big,163,26,13.5%,74,124.4,78,13.6%,93,1.01,15,17.6%
Devin Cannady,25.4,ORL,Combo,139,12,15.0%,31,100.0,16,10.4%,25,0.70,60,10.5%
Clint Capela,27.5,ATL,Big,2041,22,13.2%,57,121.1,29,6.2%,35,0.47,95,7.0%
Jevon Carter,26.1,MIL,Combo,325,3,11.9%,100,141.3,39,16.5%,89,1.39,89,7.7%
Jevon Carter,26.1,BKN,Combo,472,18,15.7%,14,91.7,21,11.8%,30,0.75,41,12.5%
Wendell Carter,22.5,ORL,Big,1848,81,20.1%,56,120.4,82,15.0%,79,0.75,42,13.8%
Alex Caruso,27.7,CHI,Combo,1136,13,15.0%,40,106.7,53,19.2%,84,1.28,20,14.8%
Willie Cauley-Stein,28.2,DAL,Big,170,4,10.4%,3,94.4,43,7.3%,75,0.70,18,17.1%
Justin Champagnie,20.3,TOR,Wing,227,6,10.3%,42,109.8,8,5.0%,28,0.49,9,14.3%
Chris Chiozza,25.9,GSW,Combo,307,24,16.9%,5,71.8,86,27.3%,98,1.62,0,19.9%
Marquese Chriss,24.3,DAL,Big,278,68,18.5%,26,112.2,48,8.0%,28,0.43,58,12.4%
Josh Christopher,19.9,HOU,Combo,1195,51,20.3%,53,109.6,37,16.0%,33,0.79,4,17.4%
Gary Clark,27.0,NOP,Big,314,8,11.3%,17,108.8,21,5.6%,41,0.50,89,8.8%
Brandon Clarke,25.1,MEM,Big,1188,41,15.3%,87,132.0,60,9.9%,66,0.65,96,6.8%
Jordan Clarkson,29.4,UTA,Combo,2109,86,26.4%,46,107.3,30,14.4%,12,0.55,73,9.7%
Nicolas Claxton,22.5,BKN,Big,940,24,13.4%,93,138.1,34,6.8%,42,0.50,46,13.4%
Amir Coffey,24.4,LAC,Wing,1472,45,15.4%,82,120.0,61,10.9%,72,0.71,80,8.3%
John Collins,24.1,ATL,Big,1662,66,18.2%,61,122.0,54,8.8%,38,0.49,88,8.9%
Zach Collins,24.0,SAS,Big,482,76,19.2%,42,116.5,90,16.8%,86,0.88,6,20.0%
Mike Conley,34.1,UTA,Point,2056,52,23.6%,74,114.8,56,28.1%,62,1.19,76,11.1%
Pat Connaughton,28.8,MIL,Wing,1655,18,12.3%,92,124.0,19,6.5%,32,0.52,92,7.4%
Tyler Cook,24.1,CHI,Big,188,9,11.3%,78,127.5,1,0.7%,1,0.06,59,12.4%
DeMarcus Cousins,31.2,MIL,Big,286,79,19.7%,52,118.5,52,8.6%,29,0.43,64,12.0%
DeMarcus Cousins,31.2,DEN,Big,424,98,31.2%,25,111.8,94,21.1%,72,0.68,2,22.6%
Robert Covington,30.9,LAC,Forward,478,45,15.1%,100,140.1,21,6.6%,17,0.44,56,10.5%
Robert Covington,30.9,POR,Forward,1425,16,12.0%,26,104.0,20,6.5%,39,0.54,9,14.7%
Torrey Craig,30.9,IND,Forward,1013,24,13.2%,59,113.3,45,8.2%,52,0.62,30,12.4%
Torrey Craig,30.9,PHX,Forward,521,28,13.4%,56,112.9,40,7.9%,48,0.59,6,15.3%
Jae Crowder,31.3,PHX,Forward,1884,32,14.0%,39,109.0,43,8.0%,41,0.57,77,8.7%
Jarrett Culver,22.7,MEM,Combo,201,34,18.5%,8,76.6,19,10.8%,15,0.58,36,13.0%
Cade Cunningham,20.1,DET,Wing,2082,98,29.8%,16,101.0,99,28.2%,94,0.94,4,16.3%
Seth Curry,31.2,BKN,Wing,568,59,17.4%,99,130.9,72,12.4%,73,0.71,40,10.8%
Seth Curry,31.2,PHI,Combo,1564,39,19.1%,93,122.9,44,17.7%,55,0.93,37,13.0%
Stephen Curry,33.6,GSW,Point,2203,84,31.3%,100,122.7,58,28.7%,10,0.92,52,12.9%
Anthony Davis,28.6,LAL,Big,1402,94,24.9%,44,116.8,80,14.8%,55,0.59,77,10.1%
Ed Davis,32.4,CLE,Big,158,0,6.4%,32,114.3,12,4.8%,80,0.75,87,8.9%
Terence Davis,24.5,SAC,Wing,517,87,23.2%,36,108.8,64,11.0%,22,0.48,50,10.2%
