Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
Quentin Grimes,21.5,NYK,Wing,750,0,80.0%,8,1.8%,37,0.8%,98,75.0%
Kyle Guy,24.2,MIA,Combo,148,0,80.0%,18,3.8%,64,1.5%,92,50.0%
Rui Hachimura,23.7,WAS,Forward,917,24,69.2%,44,8.1%,68,1.3%,39,21.9%
Tyrese Haliburton,21.7,IND,Combo,937,66,84.9%,87,10.9%,39,1.2%,16,13.2%
Tyrese Haliburton,21.7,SAC,Combo,1750,76,85.7%,48,6.9%,49,1.3%,75,33.3%
R.J. Hampton,20.7,ORL,Combo,1325,6,63.4%,75,9.8%,40,1.2%,36,20.0%
Tim Hardaway Jr.,29.6,DAL,Wing,1234,32,76.8%,52,7.6%,64,1.1%,48,21.4%
James Harden,32.2,PHI,Point,787,89,89.0%,100,22.8%,72,2.1%,18,17.7%
James Harden,32.2,BKN,Point,1626,75,86.9%,96,18.8%,86,2.6%,66,25.3%
Maurice Harkless,28.5,SAC,Forward,863,0,72.0%,31,6.3%,24,0.6%,48,25.0%
Montrezl Harrell,27.8,WAS,Big,1089,49,72.7%,94,22.1%,74,2.3%,77,30.2%
Montrezl Harrell,27.8,CHA,Big,506,29,68.6%,97,23.8%,56,1.6%,87,34.8%
Gary Harris,27.1,ORL,Wing,1729,87,87.4%,48,6.7%,11,0.5%,52,23.1%
Joe Harris,30.2,BKN,Wing,422,0,83.3%,5,1.6%,42,0.8%,92,50.0%
Tobias Harris,29.3,PHI,Forward,2541,73,84.2%,52,9.2%,59,1.1%,71,30.0%
Josh Hart,26.7,NOP,Wing,1368,29,76.2%,97,16.0%,82,1.5%,22,16.9%
Josh Hart,26.7,POR,Combo,415,26,78.2%,99,15.5%,38,1.1%,86,41.9%
Isaiah Hartenstein,23.5,LAC,Big,1118,32,69.0%,59,14.3%,78,2.4%,76,30.2%
Jaxson Hayes,21.4,NOP,Big,1347,65,76.0%,93,21.7%,36,1.3%,72,29.5%
Killian Hayes,20.3,DET,Point,1619,36,77.0%,30,6.1%,30,1.1%,8,13.8%
Gordon Hayward,31.6,CHA,Wing,1561,72,84.6%,71,10.0%,88,1.8%,67,25.4%
Juan Hernangomez,26.1,UTA,Big,270,0,47.1%,42,12.0%,2,0.3%,41,22.2%
Willy Hernangomez,27.4,NOP,Big,772,74,78.0%,79,16.8%,60,1.8%,45,23.2%
Tyler Herro,21.8,MIA,Combo,2109,82,86.5%,49,6.9%,69,1.6%,36,20.0%
Buddy Hield,28.9,SAC,Wing,1557,85,87.0%,14,3.4%,54,1.0%,44,20.8%
Buddy Hield,28.9,IND,Wing,924,92,88.6%,6,1.7%,39,0.8%,94,57.1%
Haywood Highsmith,24.9,MIA,Big,133,0,0.0%,5,4.9%,2,0.3%,96,50.0%
George Hill,35.5,MIL,Combo,1235,96,91.4%,24,4.3%,53,1.3%,22,16.7%
Malcolm Hill,26.0,CHI,Forward,157,0,66.7%,36,7.0%,41,0.8%,0,0.0%
Solomon Hill,30.6,ATL,Forward,124,0,,0,0.0%,35,0.7%,99,
Jaylen Hoard,22.6,OKC,Wing,233,0,42.9%,57,8.3%,4,0.4%,61,25.0%
Aaron Holiday,25.1,WAS,Combo,619,31,78.8%,45,6.5%,63,1.5%,46,21.4%
Aaron Holiday,25.1,PHX,Point,310,0,96.0%,76,9.6%,46,1.5%,90,36.4%
Jrue Holiday,31.4,MIL,Point,2201,28,76.1%,50,7.4%,40,1.3%,10,14.7%
Justin Holiday,32.6,SAC,Wing,637,0,73.7%,17,3.8%,52,1.0%,6,12.5%
Justin Holiday,32.6,IND,Wing,1413,57,82.9%,12,3.0%,24,0.6%,11,14.3%
Richaun Holmes,28.0,SAC,Big,1071,72,77.8%,54,13.4%,49,1.5%,92,38.6%
Rodney Hood,29.0,MIL,Forward,527,0,91.7%,10,3.4%,27,0.7%,48,25.0%
Al Horford,35.4,BOS,Big,2003,92,84.2%,14,7.4%,13,0.9%,73,29.5%
Talen Horton-Tucker,20.9,LAL,Wing,1470,39,79.2%,72,10.2%,47,0.9%,33,19.3%
Danuel House,28.4,UTA,Wing,482,11,70.3%,85,11.9%,55,1.0%,6,12.5%
Danuel House,28.4,HOU,Forward,220,0,88.2%,24,5.6%,80,1.5%,48,25.0%
Dwight Howard,35.9,LAL,Big,950,25,65.8%,99,25.8%,71,2.1%,19,15.7%
Markus Howard,22.7,DEN,Combo,110,0,87.5%,27,4.7%,99,2.7%,0,0.0%
Kevin Huerter,23.2,ATL,Wing,2177,44,80.0%,11,2.5%,23,0.6%,69,26.3%
Elijah Hughes,23.6,POR,Forward,271,0,75.0%,9,3.3%,39,0.8%,98,66.7%
DeAndre Hunter,23.9,ATL,Forward,1575,47,76.5%,76,11.0%,89,1.9%,37,21.7%
Nah'Shon Hyland,21.1,DEN,Combo,1252,63,84.7%,51,7.0%,66,1.6%,25,17.5%
Serge Ibaka,32.1,LAC,Big,534,38,70.4%,10,6.5%,15,0.9%,43,23.1%
Serge Ibaka,32.1,MIL,Big,330,0,80.0%,11,6.7%,3,0.5%,98,57.1%
Andre Iguodala,37.8,GSW,Forward,598,0,75.0%,20,4.9%,85,1.6%,0,0.0%
Joe Ingles,34.1,UTA,Forward,1117,0,77.3%,4,2.1%,34,0.7%,14,16.7%
Brandon Ingram,24.2,NOP,Forward,1865,60,82.6%,86,12.9%,98,2.8%,53,25.9%
Kyrie Irving,29.6,BKN,Combo,1083,94,91.3%,59,8.2%,84,2.1%,83,36.5%
Frank Jackson,23.5,DET,Combo,1147,51,82.8%,66,8.9%,28,1.0%,49,22.2%
Isaiah Jackson,19.8,IND,Big,495,29,68.0%,75,16.3%,72,2.2%,41,22.2%
Jaren Jackson,22.1,MEM,Big,2112,88,82.2%,55,13.9%,72,2.2%,36,20.6%
Josh Jackson,24.7,DET,Forward,676,26,70.6%,67,10.3%,54,1.0%,56,26.9%
Josh Jackson,24.7,SAC,Forward,109,0,71.4%,100,20.8%,91,2.1%,59,27.3%
Reggie Jackson,31.5,LAC,Combo,2331,62,84.5%,26,4.5%,80,2.0%,35,19.3%
LeBron James,36.8,LAL,Big,2078,63,75.6%,39,11.8%,82,2.8%,89,35.5%
Ty Jerome,24.3,OKC,Combo,759,37,79.5%,39,6.3%,74,1.7%,36,20.0%
Isaiah Joe,22.3,PHI,Combo,518,0,94.4%,47,6.7%,12,0.7%,95,55.6%
Cameron Johnson,25.7,PHX,Forward,1670,81,85.6%,45,8.3%,45,0.9%,82,35.3%
James Johnson,34.7,BKN,Big,1139,5,52.9%,19,8.8%,4,0.6%,66,28.6%
Keldon Johnson,21.9,SAS,Forward,2390,44,75.6%,70,10.6%,57,1.0%,61,27.6%
Keon Johnson,19.6,LAC,Wing,111,0,81.3%,98,16.3%,97,2.7%,11,14.3%
Keon Johnson,19.6,POR,Combo,491,0,73.7%,25,4.5%,22,0.9%,75,33.3%
Stanley Johnson,25.4,LAL,Forward,1055,23,69.1%,84,12.4%,46,0.9%,47,24.2%
Nikola Jokic,26.7,DEN,Big,2473,83,80.9%,51,13.2%,100,5.0%,91,38.3%
Damian Jones,26.3,SAC,Big,977,41,71.2%,92,21.5%,62,1.9%,83,32.8%
Herbert Jones,23.1,NOP,Forward,2321,69,84.0%,79,11.3%,43,0.8%,34,21.1%
Tre Jones,21.8,SAS,Combo,1064,25,77.4%,89,11.1%,65,1.5%,68,29.7%
Tyus Jones,25.5,MEM,Combo,1524,43,80.6%,13,3.1%,56,1.3%,67,29.4%
Derrick Jones Jr.,24.7,CHI,Big,861,80,79.1%,71,15.5%,32,1.2%,61,27.3%
DeAndre Jordan,33.3,LAL,Big,393,2,46.2%,59,14.3%,37,1.3%,14,14.3%
DeAndre Jordan,33.3,PHI,Big,196,0,71.4%,34,10.7%,52,1.5%,0,0.0%
Cory Joseph,30.2,DET,Combo,1590,93,89.1%,73,9.6%,54,1.3%,75,32.5%
Georgios Kalaitzakis,22.8,OKC,Big,165,0,47.6%,82,17.2%,22,1.1%,61,27.3%
Frank Kaminsky,28.6,PHX,Big,167,0,90.0%,68,15.2%,63,1.9%,94,40.0%
